customer_id,signup_date,plan,industry,region,mrr,acv,seats,contract_type,churn,churn_date,nps_score,health_score,feature_adoption_pct,monthly_logins,support_tickets_30d,api_calls_30d,expansion_mrr,sales_rep,cs_tier,payment_method,acquisition_channel
CUST-01197,10-27-2022,Starter,HR Tech,Europe,28.66,292.33,3,Monthly,1,2023-05-11,1.0,28.17,26.5,7.7,26,209,0.0,David Kim,Bronze,Bank Transfer,Organic Search
CUST-00527,05-28-2023,Starter,EdTech,Europe,26.43,317.16,4,Annual,0,,26.0,40.27,38.7,4.2,12,7809,0.0,Bob Martinez,Bronze,PayPal,Partner
CUST-00394,2021-05-24,Starter,E-Commerce,North America,29.62,302.12,4,Monthly,0,,48.0,35.52,47.8,5.9,29,1676,0.0,David Kim,Bronze,Credit Card,Product Hunt
CUST-01405,29/06/2023,Growth,Real Estate,  Middle East & Africa  ,96.01,979.3,9,Monthly,0,,-61.0,23.93,17.5,7.7,19,8386,0.0,Alice Chen,Bronze,Credit Card,
CUST-00434,10-29-2021,Growth,HealthTech,North America,95.01,969.1,10,Monthly,0,,-55.0,41.85,39.2,10.6,7,3215,0.0,Alice Chen,Silver,Credit Card,Paid Search
CUST-00577,10/09/2022,Business,e-commerce,Asia-Pacific,305.46,8064.14,49,Multi-Year,0,,,0.0,43.2,0.0,2,941,143.1,Eva Rossi,Silver,Credit Card,Referral
CUST-01212,2023-11-16,Free,HR Tech,North America,0,0.0,1,Monthly,0,,-10.0,26.74,39.4,1.3,23,272,0.0,N/A,Bronze,Credit Card,Referral
CUST-00430,04-27-2022,Growth,Logistics,Europe,97.96,999.19,12,Monthly,0,,-91.0,41.88,79.2,10.9,20,36869,0.0,David Kim,Silver,Invoice,Referral
CUST-00612,28/02/2021,Starter,Cybersecurity,Europe,28.62,343.44,1,Annual,1,2021-09-23,45.0,29.24,15.4,7.7,26,425,0.0,N/A,Bronze,PayPal,Social Media
CUST-00531,"April 13, 2021",Enterprise,E-Commerce,Europe,969.25,11631.0,335,Annual,1,2022-07-10,-67.0,19.93,32.5,1.6,22,3329,0.0,Alice Chen,Platinum,Invoice,Social Media
CUST-00813,09-20-2023,Business,HR Tech,North America,306.45,3125.79,40,Monthly,0,,-77.0,62.21,39.7,31.0,3,1907,147.26,Carol Singh,Silver,Bank Transfer,Paid Search
CUST-01451,03-02-2023,Starter,Logistics,Latin America,$27.5,330.0,5,Annual,0,,5.0,35.95,29.7,4.0,11,111,0.0,Bob Martinez,Bronze,Bank Transfer,Organic Search
CUST-00652,2022-04-18,Business,E-Commerce,North America,311.34,3175.67,45,Monthly,0,,,0.0,43.7,10.3,15,6577,38.86,David Kim,Gold,Credit Card,Organic Search
CUST-00562,09/06/2022,Starter,HealthTech,North America,30.37,309.77,1,Monthly,0,,-67.0,28.84,54.5,9.5,30,3041,0.0,N/A,Bronze,Credit Card,Direct
CUST-01474,"May 17, 2023",Free,FinTech,North America,0,0.0,1,Monthly,0,,62.0,48.62,81.3,2.1,21,1348,0.0,N/A,Bronze,Credit Card,Organic Search
CUST-00711,2022-09-18,Free,HealthTech,North America,0,0.0,3,Monthly,0,,-85.0,50.5,41.1,31.0,20,943,0.0,N/A,Bronze,Credit Card,Partner
CUST-01506,2023-03-11,Business,MarTech,Latin America,269.66,3235.92,24,Annual,0,,63.0,57.11,41.4,19.0,15,469,0.0,Alice Chen,Silver,PayPal,Partner
CUST-00125,02-12-2022,Starter,Cybersecurity,North America,28.73,293.05,4,Monthly,0,,-48.0,40.27,64.1,8.1,18,170,0.0,N/A,Bronze,Bank Transfer,Partner
CUST-01771,11/10/2023,Business,EdTech,Europe,319.76,3837.12,10,Annual,0,,0.0,32.33,28.2,10.2,24,4885,10.32,Eva Rossi,Silver,Invoice,Organic Search
CUST-00463,"June 26, 2023",Starter,HR Tech,Europe,28.52,290.9,1,Monthly,0,,100.0,68.83,80.2,7.0,3,1761,0.0,Carol Singh,Bronze,Bank Transfer,Referral
CUST-01894,03-28-2021,Enterprise,Cybersecurity,Latin America,1026.15,12313.8,212,Annual,0,,43.0,39.93,58.0,2.3,21,183,0.0,Carol Singh,Gold,Credit Card,Partner
CUST-01118,2022-08-27,Business,MarTech,North America,314.48,8302.27,24,Multi-Year,1,2023-08-23,-33.0,35.5,40.5,11.0,21,985,0.0,Grace Liu,Silver,Credit Card,Direct
CUST-00999,2022-06-26,Business,LegalTech,North America,319.95,3839.4,50,Annual,1,2023-04-18,,0.0,58.4,10.9,6,1451,0.0,Frank Osei,Silver,PayPal,Social Media
